faimsAttributeID,faimsEntityAttributeName,mungoAttributeLabelStatic,staticUIsequenceGuess,attributeorder,AttributeDescription
169153947844,OldBone_-_Grid_Square,Grid Square,82,1,Letter code as marked in south-west corner of square
169153947862,OldBone_-_ID_Number,ID Number,81,2,Feature identification code as marked on tag
169153947880,OldBone_-_Cluster_Type,Cluster Type,83,3,
169153947958,OldBone_-_Proportion_of_material_that_remains_in_situ,,,4,Select the proportion of visible bone that remains insitu
169153948030,OldBone_-_Body_Parts_Identifed,Body Parts Identified,84,5,"Select those of the following that have been observed, both in situ and on the surface"
169153948144,OldBone_-_Taxon_Identified,Taxon Identified,85,6,Select those of the following that can be identified:
169153948257,OldBone_-_Bone_Preservation,Bone Preservation,86,7,Select those types of modification that are common on the visible bone:
169153948364,OldBone_-_Deliberate_Surface_Modification,Deliberate Surface Modification,87,8,Select those types of deliberate modification that occur in any proportion on the visible bone:
169153948428,OldBone_-_Topographic_Setting,Topographic Setting,88,9,Where on the lunette exposure is the old bone located?
169153948623,OldBone_-_Sediment_Type,Sediment Type,89,10,"What are the sediments that encase the old bone, or upon which they are immediately lying?"
169153963204,OldBone_-_Stratigraphic_Unit,Stratigraphic Unit,90,11,
169153963340,OldBone_-_Vulnerability_To_Erosion,Vulnerability to Erosion,91,12,"Based on the cluster type and its topographic setting, how vulnerable is the old bone?"
169153963405,OldBone_-_Palaeotopographic_Setting,Palaeotopographic Setting,92,13,Where is the old bone cluster located in relation to the original dune morphology?
169153963495,OldBone_-_Photos,Photos,94,14,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
169153963515,OldBone_-_Notes,Notes,93,15,Any additional information worth noting that has not been covered by the recording
169153937497,OldBone_-_Associated_in_situ_material,Associated insitu material,95,1,Select those of the following that have been observed in situ
169153902332,OldBone_-_Associated_surface_material,Associated  surface material,101,1,Select those of the following that have been observed on the surface
169153927022,OldBone_-_Bivalve_preservation,Bivalve Preservation,96,2; 2,
169153927022,OldBone_-_Bivalve_preservation,Bivalve Preservation,102,2; 2,
169153871990,OldBone_-_Burned_Mussel,,,3; 3,
169153942561,OldBone_-_Associated_Hearth_Material,Associated hearth material,97,4; 4,Select those of the following that have been observed:
169153942561,OldBone_-_Associated_Hearth_Material,Associated hearth material,103,4; 4,Select those of the following that have been observed:
169153902988,OldBone_-_Associated_Eggshell,Associated eggshell,98,5; 5,Select those of the following that have been observed:
169153902988,OldBone_-_Associated_Eggshell,Associated eggshell,104,5; 5,Select those of the following that have been observed:
169153944338,OldBone_-_Burned_Eggshel,,,6; 6,
169153901454,OldBone_-_Associated_Stone_Artefacts,Associated stone artefacts,99,7; 7,Select those of the following that have been observed
169153901454,OldBone_-_Associated_Stone_Artefacts,Associated stone artefacts,105,7; 7,Select those of the following that have been observed
169153916961,OldBone_-_Associated_Chipped_Stone_Artefacts,,,8; 8,Select those of the following that have been observed:
169153899955,OldBone_-_Associated_Retouched_Artefacts,,,9; 9,
169153919949,OldBone_-_Associated_Unmodified_Stone,,,10; 10,Select those of the following that have been observed:
169153931090,OldBone_-_Ground_Stone_Types_Present,,,11; 11,Select those of the following that have been observed:
169153927614,OldBone_-_Ground_Stone_Status,,,12; 12,Is the ground material...:
169153901415,OldBone_-_Chipped_Stone_Raw_Material,,,13; 13,Select those types of raw material that have been observed:
169153913718,OldBone_-_Unmodified_Stone_Raw_Material,,,14; 14,Select those types of raw material that have been observed:
169153897906,OldBone_-_Ground_Stone_Raw_Material,,,15; 15,Select those types of raw material that have been observed:
169153939099,OldBone_-_Associated_Other_Artefacts,Associated other worked (or transported) material,100,16; 16,Select those of the following that have been observed:
169153939099,OldBone_-_Associated_Other_Artefacts,Associated other worked (or transported) material,106,16; 16,Select those of the following that have been observed:
169153942339,Hearth_-_Grid_Square,Grid Square,2,1,Letter code as marked in south-west corner of square
169153893508,Hearth_-_ID_Number,ID Number,1,2,Feature identification code as marked on tag
169153924973,Hearth_-_Hearth_Type,Hearth Type,3,3,
169153915636,Hearth_-_Brief_description,,,4,"A few word description of an 'other' type of hearth or hearthstone, e.g. fish hearth, emu eggshell hearth, silcrete hearthstones"
169153901219,Hearth_-_Charcoal,Charcoal,4,5,
169153919085,Hearth_-_Proportion_of_material_that_remains_in_situ,Proportion of material that remains in situ,5,6,Select the proportion of visible hearth material that remains in situ
169153862095,Hearth_-_Modification_of_heat-retainer_hearths,,,7,Select the degree of post-exposure modification of the heat-retainer hearth:
169153910563,Hearth_-_Modification_of_non-heat_retainer_hearths,,,8,Select the extent of post-exposure modification to non- heat retainer hearths:
169153952410,Hearth_-_Topographic_Setting,Topographic Setting,6,9,Where on the lunette exposure is the hearth located?
169153918525,Hearth_-_Sediment_Type,Sediment Type,7,10,"What are the sediments that encase the hearth, or upon which they are immediately lying?"
169153921930,Hearth_-_Stratigraphic_Unit,Stratigraphic Unit,8,11,
169153914742,Hearth_-_Vulnerability_To_Erosion,Vulnerability to Erosion,9,12,"Based on the cluster type and its topographic setting, how vulnerable is the hearth?"
169153941130,Hearth_-_Palaeotopographic_Setting,Palaeotopographic Setting,10,13,Where is the hearth cluster located in relation to the original dune morphology?
169153917766,Hearth_-_Photos,Photos,12,14,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
169153897922,Hearth_-_Notes,Notes,11,15,Any additional information worth noting that has not been covered by the recording
169153918196,HearthAssoc_-_Associated_material,Associated material,13,1,
169153904877,HearthAssoc_-_Associated_lacustrine_material,Associated lacustrine material,14,2,Select those of the following that have been observed
169153914002,HearthAssoc_-_Burnt_lacustrine_material,Burnt lacustrine material,15,3,Is any of it burnt?
169153917942,HearthAssoc_-_Associated_terrestrial_bone,Associated terrestrial bone,16,4,Select those of the following that have been identified (see Old Bone Reference Manual for more illustrations)
169153904482,HearthAssoc_-_Burnt_terrestrial_bone,Burnt terrestrial bone,17,5,Is any of it burnt?
169153900986,HearthAssoc_-_Associated_eggshell,Associated eggshell,18,6,Select those of the following that have been observed
169153903016,HearthAssoc_-_Burnt_eggshell,Burnt eggshell,19,7,Is any of it burnt?
169153912685,HearthAssoc_-_Associated_stone_artefacts,Associated stone artefacts,20,8,Select those of the following that have been observed
169153911241,HearthAssoc_-_Associated_chipped_stone_artefacts,,,9,Select those of the following that have been observed
169153905338,HearthAssoc_-_Associated_retouched_artefacts,,,10,Select those of the following that have been observed
169153905206,HearthAssoc_-_Associated_unmodified_stone,,,11,Select those of the following that have been observed
169153914108,HearthAssoc_-_Ground_stone_types_present,,,12,Select those of the following that have been observed
169153902925,HearthAssoc_-_Ground_stone_status,,,13,"If ground stone is present, is the ground material..."
