faimsAttributeID,,Faims true attribute name,faimsEntityAttributeName,mungoAttributeLabelStatic,attributeLocation,faimsVocab,mungoVocab,VocabCountOrder,pictureFilename,infoFilenames,VocabDescription,parentVocabularyName,notesToFAIMSTeam,Actionable,notesToMungoTeam
1.69E+11,1.69154E+11,OldBone_-_Grid_Square,OldBone_-_Grid_Square,Grid Square,Bone,,,,,,,,,,
1.69E+11,1.69154E+11,OldBone_-_ID_Number,OldBone_-_ID_Number,ID Number,Bone,,,,,,,,,,
1.69E+11,1.69154E+11,OldBone_-_Cluster_Type,OldBone_-_Cluster_Type,Cluster Type,Bone,{boneOnly},Bone Only,1,,,,,,,
1.69E+11,1.69154E+11,OldBone_-_Cluster_Type,OldBone_-_Cluster_Type,Cluster Type,Bone,{boneAndOtherMaterial},Bone and other material,2,,,,,,,
1.69E+11,1.69154E+11,OldBone_-_Cluster_Type,OldBone_-_Cluster_Type,Cluster Type,Bone,{insitBO},insitbo,1,,362_insitbo.jpg;363_insitbo.jpg;364_insitbo.jpg;365_insitbo_section.JPG;366_insitbo.jpg;367_bone insitu.jpg;368_in sit bo if cropped.jpg;369_in sit bone 4.jpg;370_in situ bone.jpg,"2 or more in situ elements, a set of in situ articulated elements, or an in situ skeleton, not associated with any other in situ or surface material",{boneOnly},,,
1.69E+11,1.69154E+11,OldBone_-_Cluster_Type,OldBone_-_Cluster_Type,Cluster Type,Bone,{surfBO},surfbo,2,,372_surfbo.jpg;373_surfbo.jpg;374_surfbo.jpg;375_frag surf bo.jpg;376_surfbo_&recement.jpg,"discrete cluster of bones of a similar type (part of same element or same skeleton, or in a similar state of preservation) on the surface, but in a topographic and sedimentary context indicating that they have not been transported",{boneOnly},,,
1.69E+11,1.69154E+11,OldBone_-_Cluster_Type,OldBone_-_Cluster_Type,Cluster Type,Bone,{insitAndSurf},insit&surf,3,,377_insit&surf.jpg;378_insit&surf.JPG;379_insit and surf bo.jpg,"2 or more in situ elements, a set of in situ articulated elements, or an in situ skeleton, plus a discrete surface cluster of bones of a similar type",{boneOnly},,,
1.69E+11,1.69154E+11,OldBone_-_Cluster_Type,OldBone_-_Cluster_Type,Cluster Type,Bone,{inistAndOth},insit&oth,1,,,"in situ bone cluster as defined above, associated with other material, either in situ or on the surface",{boneAndOtherMaterial},,,
1.69E+11,1.69154E+11,OldBone_-_Cluster_Type,OldBone_-_Cluster_Type,Cluster Type,Bone,{surfAndOth},surf&oth,2,,,"surface bone cluster as defined above, associated with other material, either in situ or on the surface",{boneAndOtherMaterial},,,
1.69E+11,1.69154E+11,OldBone_-_Cluster_Type,OldBone_-_Cluster_Type,Cluster Type,Bone,{bothAndOth},both&oth,3,,,"in situ and surface bone cluster as defined above, associated with other material, either in situ or on the surface",{boneAndOtherMaterial},,,
1.69E+11,1.69154E+11,OldBone_-_Proportion_of_material_that_remains_in_situ,OldBone_-_Proportion_of_material_that_remains_in_situ,Proportion of material that remains in situ,Bone,{most},most,1,,380_most.JPG;381_most_wombat.JPG;382_most_snake.jpg;383_most.jpg,the majority of the visible bone is in situ,,,,
1.69E+11,1.69154E+11,OldBone_-_Proportion_of_material_that_remains_in_situ,OldBone_-_Proportion_of_material_that_remains_in_situ,Proportion of material that remains in situ,Bone,{some},some,2,,384_some.jpg;385_some.jpg,at least some of the bone is in situ,,,,
1.69E+11,1.69154E+11,OldBone_-_Proportion_of_material_that_remains_in_situ,OldBone_-_Proportion_of_material_that_remains_in_situ,Proportion of material that remains in situ,Bone,{surface},surface,3,,386_surface.jpg;387_surface.jpg;388_surface_burned bone.jpg,no bone is embedded in sediment,,,,
1.69E+11,1.69154E+11,OldBone_-_Proportion_of_material_that_remains_in_situ,OldBone_-_Proportion_of_material_that_remains_in_situ,Proportion of material that remains in situ,Bone,{recement},recement,4,,389_recement.jpg;390_recement_in rill.jpg;391_recement_bettong.jpg,"the bone appears to be in situ, but there is a high likelihood that it is actually cemented in redeposited sediment",,,,
1.69E+11,1.69154E+11,OldBone_-_Proportion_of_material_that_remains_in_situ,OldBone_-_Proportion_of_material_that_remains_in_situ,Proportion of material that remains in situ,Bone,{ambiguous},ambiguous,5,,392_ambiguous.jpg;393_ambiguous.jpg,"the bone appears to be in situ, but it is impossible to say whether it is actually recemented",,,,
1.69E+11,1.69154E+11,OldBone_-_Body_Parts_Identifed,OldBone_-_Body_Parts_Identifed,Body Parts Identified,Bone,{cranAndTooth},cran+teeth,1,,394_cran+teeth_bettong.jpg;395_cran+teeth.jpg;396_cran+teeth.jpg,"cranial elements, including maxilla with teeth",,,,
1.69E+11,1.69154E+11,OldBone_-_Body_Parts_Identifed,OldBone_-_Body_Parts_Identifed,Body Parts Identified,Bone,{cranNoTooth},cran-teeth,2,,397_cran-teeth.jpg;398_cran-teeth_ mand+teeth.jpg,cranial elements (with or without maxilla) but no teeth,,,,
1.69E+11,1.69154E+11,OldBone_-_Body_Parts_Identifed,OldBone_-_Body_Parts_Identifed,Body Parts Identified,Bone,{mandAndteeth},mand+teeth,3,,383_most.jpg;399_mand+teeth.jpg;400_mand+teeth.jpg;401_mand+teeth.jpg;402_mand+teeth.jpg;403_mand+teeth.jpg;;431_wombat_mand&teeth.jpg,"lower jaw, with teeth",,,,
1.69E+11,1.69154E+11,OldBone_-_Body_Parts_Identifed,OldBone_-_Body_Parts_Identifed,Body Parts Identified,Bone,{mandNoteeth},mand-teeth,4,,404_mand-teeth.jpg;405_mand-teeth.jpg,lower jaw without teeth,,,,
1.69E+11,1.69154E+11,OldBone_-_Body_Parts_Identifed,OldBone_-_Body_Parts_Identifed,Body Parts Identified,Bone,{limb},limb,5,,406_limb.jpg;407_limb.jpg;408_limb.jpg;409_limb.jpg;410_limb_hand.JPG,"limb bones including scapula (shoulder), humerus (upper arm), radius/ulna (lower arm), wrist, hand & finger bones, femur (thigh), tibia/fibula (lower leg), ankle, heel, foot & toe bones",,,,
1.69E+11,1.69154E+11,OldBone_-_Body_Parts_Identifed,OldBone_-_Body_Parts_Identifed,Body Parts Identified,Bone,{axial},axial,6,,364_insitbo.jpg;411_axial.jpg;412_axial.jpg;413_axial.jpg,"axial elements: vertebrae, sternum and ribs",,,,
