faimsAttributeID,faimsEntityAttributeName,attributeLocation,faimsVocab,mungoVocab,VocabCountOrder,pictureFilename,infoFilenames,VocabDescription,parentVocabularyName,notesToFAIMSTeam,notesToMungoTeam
169153947844,OldBone_-_Grid_Square,Bone,,,,,,,,,
169153947862,OldBone_-_ID_Number,Bone,,,,,,,,,
169153947880,OldBone_-_Cluster_Type,Bone,{boneOnly},Bone Only,1,,,,,,
169153947880,OldBone_-_Cluster_Type,Bone,{boneAndOtherMaterial},Bone and other material,2,,,,,,
169153947880,OldBone_-_Cluster_Type,Bone,{insitBO},insitBO,1,,,"2 or more in situ elements, a set of in situ articulated elements, or an in situ skeleton, not associated with any other in situ or surface material",{boneOnly},,
169153947880,OldBone_-_Cluster_Type,Bone,{surfBO},surfBO,2,,,"Discrete cluster of bones of a similar type (part of same element or same skeleton, or in a similar state of preservation) on the surface, but in a topographic and sedimentary context indicating that they have not been transported",{boneOnly},,
169153947880,OldBone_-_Cluster_Type,Bone,{insitAndSurf},insit&surf,3,,,"2 or more in situ elements, a set of in situ articulated elements, or an in situ skeleton, plus a discrete surface cluster of bones of a similar type",{boneOnly},,
169153947880,OldBone_-_Cluster_Type,Bone,{inistAndOth},insit&oth,1,missing.jpg,missing.jpg; missing.jpg,"In situ bone cluster as defined above, associated with other material, either in situ or on the surface",{boneAndOtherMaterial},,
169153947880,OldBone_-_Cluster_Type,Bone,{surfAndOth},surf&oth,2,missing.jpg,missing.jpg; missing.jpg,"Surface bone cluster as defined above, associated with other material, either in situ or on the surface",{boneAndOtherMaterial},,
169153947880,OldBone_-_Cluster_Type,Bone,{bothAndOth},both&oth,3,missing.jpg,missing.jpg; missing.jpg,"In situ and surface bone cluster as defined above, associated with other material, either in situ or on the surface",{boneAndOtherMaterial},,
169153947958,OldBone_-_Proportion_of_material_that_remains_in_situ,Bone,{most},most,1,missing.jpg,missing.jpg; missing.jpg,The majority of the visible bone is in situ,,,
169153947958,OldBone_-_Proportion_of_material_that_remains_in_situ,Bone,{some},some,2,missing.jpg,missing.jpg; missing.jpg,At least some of the bone is in situ,,,
169153947958,OldBone_-_Proportion_of_material_that_remains_in_situ,Bone,{surface},surface,3,missing.jpg,missing.jpg; missing.jpg,No bone is embedded in sediment,,,
169153947958,OldBone_-_Proportion_of_material_that_remains_in_situ,Bone,{recement},recement,4,missing.jpg,missing.jpg; missing.jpg,"The bone appears to be in situ, but there is a high likelihood that it is actually cemented in redeposited sediment",,,
169153947958,OldBone_-_Proportion_of_material_that_remains_in_situ,Bone,{ambiguous},ambiguous,5,missing.jpg,missing.jpg; missing.jpg,"The bone appears to be in situ, but it is impossible to say whether it is actually recemented",,,
169153947958,OldBone_-_Proportion_of_material_that_remains_in_situ,Bone,{other},other,6,missing.jpg,missing.jpg; missing.jpg,,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{cranAndTooth},cran+Teeth,1,,,"Cranial elements, including maxilla with teeth",,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{cranNoTooth},cran-Teeth,2,,,Cranial elements (with or without maxilla) but no teeth,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{mandAndteeth},mand+teeth,3,,,"Lower jaw, with teeth",,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{mandNoteeth},mand-teeth,4,,,Lower jaw without teeth,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{limb},limb,5,,,Limb bones,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{axial},axial,6,,,Axial elements,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{allparts},allparts,7,,,"Some elements of each of cranial, limb and axial bones",,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{otoliths},otoliths,8,,,Fish otoliths,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{glith},glith,9,,,Gastroliths,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{exoskel},exoskel,10,,,Exoskeleton,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{scute},scute,11,,,Bony plate (overlain with horn) from the shell of a turtle,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{other},other,12,,,,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{undiag},undiag,13,,,Fragments are too small to preserve diagnostic features,,,
169153948030,OldBone_-_Body_Parts_Identifed,Bone,{unident},unident,14,,,"Potentially diagnostic features (size/shape, articular ends, muscle markings, teeth) could not be identified",,,
169153948144,OldBone_-_Taxon_Identified,Bone,{wombat},wombat,1,,,,,,
169153948144,OldBone_-_Taxon_Identified,Bone,{bettong},bettong,2,,,,,,
169153948144,OldBone_-_Taxon_Identified,Bone,{macropod},macropod,3,,,"e.g. Western Grey, Eastern Grey, Red Kangaroo",,,
169153948144,OldBone_-_Taxon_Identified,Bone,{smallmars},smallmars,4,,,Small marsupial,,,
169153948144,OldBone_-_Taxon_Identified,Bone,{emu},emu,5,,,,,,
169153948144,OldBone_-_Taxon_Identified,Bone,{birdother},birdother,6,,,"Bird other than emu (swan, duck, etc)",,,
169153948144,OldBone_-_Taxon_Identified,Bone,{carnivore},carnivore,7,,,"e.g. Thylacine, Tasmanian Devil",,,
169153948144,OldBone_-_Taxon_Identified,Bone,{rodent},rodent,8,,,,,,
169153948144,OldBone_-_Taxon_Identified,Bone,{reptile},reptile,9,,,,,,
169153948144,OldBone_-_Taxon_Identified,Bone,{fish},fish,10,,,"e.g. Murray Cod, Golden Perch",,,
169153948144,OldBone_-_Taxon_Identified,Bone,{crustac},crustac,11,,,Crustacean,,,
169153948144,OldBone_-_Taxon_Identified,Bone,{mega},mega,12,,,Megafauna,,,
169153948144,OldBone_-_Taxon_Identified,Bone,{undiag},undiag,13,,,"Shape and size are not diagnostic of taxon and no other diagnostic features are preserved (teeth, muscle markings, articular ends)",,,
169153948144,OldBone_-_Taxon_Identified,Bone,{unident},unident,14,,,"Potentially diagnostic features (size/shape, articular ends, muscle markings, teeth) could not be identified",,,
169153948144,OldBone_-_Taxon_Identified,Bone,{other},other,15,,,,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{good},good,1,,,Select those types of modification that are common on the visible bone,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{weathpost},weathpost,2,,,Signs of post-exposure weathering and/or breakage,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{weathpre},weathpre,3,,,Clear signs of weathering prior to burial,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{fragpost},fragpost,4,,,post exposure fragmentation and splintering of bone,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{fragpre},fragpre,5,,,evidence of breakage prior to fossilisation,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{orgstain},orgstain,6,,,brown organic staining,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{minstain},minstain,7,,,flecks of manganese or other dark minerals,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{soft},soft,8,,,bone is soft and friable,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{carb},carb,9,,,carbonate encrustation on surface of bone,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{polish},polish,10,,,Smoothed surface with glossy appearance,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{abraded},abraded,11,,,"Scored or scratched surface, muted, rounded edges and/or muscle markings",,,
169153948257,OldBone_-_Bone_Preservation,Bone,{indet},indet,12,,,Modification not described by any of the above,,,
169153948257,OldBone_-_Bone_Preservation,Bone,{other},other,13,,,,,,
169153948364,OldBone_-_Deliberate_Surface_Modification,Bone,{none},none,1,,,No surface modification,,,
169153948364,OldBone_-_Deliberate_Surface_Modification,Bone,{burned},burned,2,,,Charred or calcined,,,
169153948364,OldBone_-_Deliberate_Surface_Modification,Bone,{toothmarks},toothmarks,3,,,Toothmarks or gnaw marks,,,
169153948364,OldBone_-_Deliberate_Surface_Modification,Bone,{cutmarks},cutmarks,4,,,Stone tool-inflicted cut marks,,,
169153948364,OldBone_-_Deliberate_Surface_Modification,Bone,{impact},impact,5,,,"Impact feature, flake scar or flake (on bone) resulting from hammerstone impact",,,
169153948364,OldBone_-_Deliberate_Surface_Modification,Bone,{indet},indet,6,,,Object is too deeply buried or encrusted to determine modification,,,
169153948364,OldBone_-_Deliberate_Surface_Modification,Bone,{other},other,7,,,,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{platform},platform,1,missing.jpg,missing.jpg; missing.jpg,"Broad, flat platform exposure",,,
169153948428,OldBone_-_Topographic_Setting,Bone,{less6Degree},<6degree,2,missing.jpg,missing.jpg; missing.jpg,Slightly sloping surface,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{6To12Degree},6-12degree,3,missing.jpg,missing.jpg; missing.jpg,Moderately sloping surface,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{greater12Degree},>12degree,4,missing.jpg,missing.jpg; missing.jpg,More steeply sloping surface,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{shallrill},shallrill,5,missing.jpg,missing.jpg; missing.jpg,Within a shallow rill,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{rillfloor},rillfloor,6,missing.jpg,missing.jpg; missing.jpg,"In the floor of a deep rill (strong, vertical rilling in clay-rich sediments)",,,
169153948428,OldBone_-_Topographic_Setting,Bone,{rillwall},rillwall,7,missing.jpg,missing.jpg; missing.jpg,"In the wall of a deep rill (strong, vertical rilling in clay-rich sediments)",,,
169153948428,OldBone_-_Topographic_Setting,Bone,{ridge},ridge,8,missing.jpg,missing.jpg; missing.jpg,On a narrow ridge in heavily eroded area,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{ridgerill},ridgerill,9,missing.jpg,missing.jpg; missing.jpg,Feature in a heavily eroded area is cut by deep rills and straddles rill wall and rill flow,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{shalgulfl},shalgulfl,10,missing.jpg,missing.jpg; missing.jpg,In the floor of a gully less than 1.5m wide or deep,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{shalgulwal},shalgulwal,11,missing.jpg,missing.jpg; missing.jpg,In the wall of a gully less than 1.5m wide or deep,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{deepgulfl},deepgulfl,12,missing.jpg,missing.jpg; missing.jpg,In the floor of a gully greater than 1.5m wide and deep,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{deepgulwal},deepgulwal,13,missing.jpg,missing.jpg; missing.jpg,In the wall of a gully greater than 1.5m wide and deep,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{residtop},residtop,14,missing.jpg,missing.jpg; missing.jpg,Flat surface on top of a residual,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{residside},residside,15,missing.jpg,missing.jpg; missing.jpg,In the side of a residual,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{chanfloor},chanfloor,16,missing.jpg,missing.jpg; missing.jpg,In the floor of a modern outwash channel,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{chanwall},chanwall,17,missing.jpg,missing.jpg; missing.jpg,In the wall of a modern outwash channel,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{allfan},allfan,18,missing.jpg,missing.jpg; missing.jpg,modern alluvial fan,,,
169153948428,OldBone_-_Topographic_Setting,Bone,{other},other,19,missing.jpg,missing.jpg; missing.jpg,,,,
169153948623,OldBone_-_Sediment_Type,Bone,{redsand},redsand,1,missing.jpg,missing.jpg; missing.jpg,quartz sand of a reddish colour,,,
169153948623,OldBone_-_Sediment_Type,Bone,{brownsand},brownsand,2,missing.jpg,missing.jpg; missing.jpg,quartz sands of a brownish colour,,,
169153948623,OldBone_-_Sediment_Type,Bone,{whitesand},whitesand,3,missing.jpg,missing.jpg; missing.jpg,sand that is clean (no clay) and white,,,
169153948623,OldBone_-_Sediment_Type,Bone,{othersand},othersand,4,missing.jpg,missing.jpg; missing.jpg,quartz sands of a different colour (eg pink),,,
169153948623,OldBone_-_Sediment_Type,Bone,{clayeysand},clayeysand,5,missing.jpg,missing.jpg; missing.jpg,quartz sands that contain some clay,,,
169153948623,OldBone_-_Sediment_Type,Bone,{laminarsand},laminarsand,6,missing.jpg,missing.jpg; missing.jpg,"fine laminae of quartz sands, clayey sands and clays; brown colour, sands predominate",,,
169153948623,OldBone_-_Sediment_Type,Bone,{redlamsand},redlamsand,7,missing.jpg,missing.jpg; missing.jpg,red sands preserving fine bedding,,,
169153948623,OldBone_-_Sediment_Type,Bone,{unconsolsand},unconsolsand,8,missing.jpg,missing.jpg; missing.jpg,"unconsolidated sands, sometimes with thin horizons of carbonate (archaeology bearing)",,,
169153948623,OldBone_-_Sediment_Type,Bone,{modernaeolian},modernaeolian,9,missing.jpg,missing.jpg; missing.jpg,"shifting veneer of unconsolidated sands, coppice sands",,,
169153948623,OldBone_-_Sediment_Type,Bone,{pelletalclay},pelletalclay,10,missing.jpg,missing.jpg; missing.jpg,grey clays made up of clay pellets,,,
169153948623,OldBone_-_Sediment_Type,Bone,{alternat},alternat,11,missing.jpg,missing.jpg; missing.jpg,alternating beds of pelletal clay and quartz sand,,,
169153948623,OldBone_-_Sediment_Type,Bone,{clay-alt},clay-alt,12,missing.jpg,missing.jpg; missing.jpg,distinct bed of pelletal clay within a sequence of alternating sands and clays,,,
169153948623,OldBone_-_Sediment_Type,Bone,{sand-alt},sand-alt,13,missing.jpg,missing.jpg; missing.jpg,distinct bed of quartz sand within a sequence of alternating sands and clays,,,
169153948623,OldBone_-_Sediment_Type,Bone,{bluelam-alt},bluelam-alt,14,missing.jpg,missing.jpg; missing.jpg,"mm-thick, but laterally traceable lens of clay with distinct 'blue' colour",,,
169153948623,OldBone_-_Sediment_Type,Bone,{greenclay},greenclay,15,missing.jpg,missing.jpg; missing.jpg,clay of a green colour,,,
169153948623,OldBone_-_Sediment_Type,Bone,{redsoil},redsoil,16,missing.jpg,missing.jpg; missing.jpg,soil of a reddish colour,,,
169153948623,OldBone_-_Sediment_Type,Bone,{brownsoil},brownsoil,17,missing.jpg,missing.jpg; missing.jpg,soil of a brownish colour,,,
169153948623,OldBone_-_Sediment_Type,Bone,{darksoil},darksoil,18,missing.jpg,missing.jpg; missing.jpg,"soil with greyish to dark greyish colour, carbonate rich",,,
169153948623,OldBone_-_Sediment_Type,Bone,{carbsoft},carbsoft,19,missing.jpg,missing.jpg; missing.jpg,sediment containing diffuse soil carbonate (C horizon),,,
169153948623,OldBone_-_Sediment_Type,Bone,{carbnodule},carbnodule,20,missing.jpg,missing.jpg; missing.jpg,sediment containing hard carbonate nodules (C horizon),,,
169153948623,OldBone_-_Sediment_Type,Bone,{carbpavemt},carbpavemt,21,missing.jpg,missing.jpg; missing.jpg,well developed in situ soil carbonates forming a solid pavement,,,
169153948623,OldBone_-_Sediment_Type,Bone,{carblag},carblag,22,missing.jpg,missing.jpg; missing.jpg,"broken up, angular pieces of carbonate nodules, root traces, burrows, rhizomorphs representing a reworked lag",,,
169153948623,OldBone_-_Sediment_Type,Bone,{finesilt},finesilt,23,missing.jpg,missing.jpg; missing.jpg,"fine, well-sorted silt with no clay component",,,
169153948623,OldBone_-_Sediment_Type,Bone,{cobblebeach},cobblebeach,24,missing.jpg,missing.jpg; missing.jpg,"continuous bed of rounded carbonate nodules, rhizomorphs etc together with rounded pebbles/cobbles of qtz or rock fragments",,,
169153948623,OldBone_-_Sediment_Type,Bone,{gravelbeach},gravelbeach,25,missing.jpg,missing.jpg; missing.jpg,relatively continuous bed of rounded gravels and coarse sand,,,
169153948623,OldBone_-_Sediment_Type,Bone,{other},other,26,missing.jpg,missing.jpg; missing.jpg,,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{Golgol},Golgol,1,missing.jpg,missing.jpg; missing.jpg,deeply weathered sands and clays with strong red colour,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{ggC},ggC,2,missing.jpg,missing.jpg; missing.jpg,Golgol C horizon: in situ carbonate nodules and sediments cemented together to form distinct pavement (pinkish colour),,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{gglag},gglag,3,missing.jpg,missing.jpg; missing.jpg,"surface lag made up of broken up, angular pieces of pinkish carbonate nodules, root traces etc derived from the Golgol C",,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{B},B,4,missing.jpg,missing.jpg; missing.jpg,Lower Mungo,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{C},C,5,missing.jpg,missing.jpg; missing.jpg,Upper Mungo,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{D},D,6,missing.jpg,missing.jpg; missing.jpg,mega-lake sediments,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{E},E,7,missing.jpg,missing.jpg; missing.jpg,Arumpo/Zanci,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{F},F,8,missing.jpg,missing.jpg; missing.jpg,unconsolidated sands reworked lunette sediments,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{G},G,9,missing.jpg,missing.jpg; missing.jpg,Holocene alluvial fans,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{H},H,10,missing.jpg,missing.jpg; missing.jpg,modern aeolian,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{I},I,11,missing.jpg,missing.jpg; missing.jpg,modern alluvium,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{indet},indet,12,missing.jpg,missing.jpg; missing.jpg,stratgraphic unit not yet identified,,,
169153963204,OldBone_-_Stratigraphic_Unit,Bone,{other},other,13,missing.jpg,missing.jpg; missing.jpg,,,,
169153963340,OldBone_-_Vulnerability_To_Erosion,Bone,{low},low,1,missing.jpg,missing.jpg; missing.jpg,"On a relatively stable, flat surface or gentle slope that is not being eroded by rills, in well cemented (firm) sediment",,,
169153963340,OldBone_-_Vulnerability_To_Erosion,Bone,{moderate},moderate,2,missing.jpg,missing.jpg; missing.jpg,"Wider area is being eaten away by ongoing erosion, e.g. near edge of platform exposure, gully head, expanding rill system",,,
169153963340,OldBone_-_Vulnerability_To_Erosion,Bone,{high},high,3,missing.jpg,missing.jpg; missing.jpg,"High probability of material being removed by erosion, or of the hearth losing its integrity, e.g. relatively steep slope with incipient rills and/or in loose sandy sediment",,,
169153963340,OldBone_-_Vulnerability_To_Erosion,Bone,{extreme},extreme,4,missing.jpg,missing.jpg; missing.jpg,"Hearth material is in imminent danger of rapid removal and loss, e.g. edge of eroding residual or deep rill, in gully wall, on a steep slope- washed surface, or in loose sandy sediment",,,
169153963340,OldBone_-_Vulnerability_To_Erosion,Bone,{other},other,5,missing.jpg,missing.jpg; missing.jpg,,,,
169153963405,OldBone_-_Palaeotopographic_Setting,Bone,{foredune},foredune,1,missing.jpg,missing.jpg; missing.jpg,Stratigraphic layers are sloping towards the lakebed,,,
169153963405,OldBone_-_Palaeotopographic_Setting,Bone,{backdune},backdune,2,missing.jpg,missing.jpg; missing.jpg,Stratigraphic layers are sloping towards the hinterland,,,
169153963405,OldBone_-_Palaeotopographic_Setting,Bone,{crest},crest,3,missing.jpg,missing.jpg; missing.jpg,"Crest of dune, stratigraphic layers slope away, towards both lakebed and hinterland",,,
169153963405,OldBone_-_Palaeotopographic_Setting,Bone,{beach},beach,4,missing.jpg,missing.jpg; missing.jpg,An area of rounded cobbles or gravels in distinct horizon,,,
169153963405,OldBone_-_Palaeotopographic_Setting,Bone,{spit},spit,5,missing.jpg,missing.jpg; missing.jpg,Projection from dune into lakebed,,,
169153963405,OldBone_-_Palaeotopographic_Setting,Bone,{lakebed},lakebed,6,missing.jpg,missing.jpg; missing.jpg,Lakebed sediments,,,
169153963405,OldBone_-_Palaeotopographic_Setting,Bone,{indet},indet,7,missing.jpg,missing.jpg; missing.jpg,Indeterminate,,,
169153963405,OldBone_-_Palaeotopographic_Setting,Bone,{other},other,8,missing.jpg,missing.jpg; missing.jpg,,,,
169153963495,OldBone_-_Photos,Bone,,,,,,,,,
169153963515,OldBone_-_Notes,Bone,,,,,,,,,
169153937497,OldBone_-_Associated_in_situ_material,Bone Associated Insitu Materials,{hearthmaterial},hearth material,1,,,"Hearthstones, baked sediment or charcoal",,,
169153937497,OldBone_-_Associated_in_situ_material,Bone Associated Insitu Materials,{mussel},mussel,2,,,Mussel shell or shell fragment,,,
169153937497,OldBone_-_Associated_in_situ_material,Bone Associated Insitu Materials,{eggshell},eggshell,3,,,"Emu, Genyornis or other eggshell",,,
169153937497,OldBone_-_Associated_in_situ_material,Bone Associated Insitu Materials,{stoneart},stoneart,4,,,"Chipped, unmodified or ground stone",,,
169153937497,OldBone_-_Associated_in_situ_material,Bone Associated Insitu Materials,{otherwork},otherwork,5,,,Other worked or transported material,,,
169153937497,OldBone_-_Associated_in_situ_material,Bone Associated Insitu Materials,{all},all,6,,,,,,
169153902332,OldBone_-_Associated_surface_material,Bone Associated Surface Materials,{hearthmaterial},hearth material,1,,,"Hearthstones, baked sediment or charcoal",,,
169153902332,OldBone_-_Associated_surface_material,Bone Associated Surface Materials,{mussel},mussel,2,,,Mussel shell or shell fragment,,,
169153902332,OldBone_-_Associated_surface_material,Bone Associated Surface Materials,{eggshell},eggshell,3,,,"Emu, Genyornis or other eggshell",,,
169153902332,OldBone_-_Associated_surface_material,Bone Associated Surface Materials,{stoneart},stoneart,4,,,"Chipped, unmodified or ground stone",,,
169153902332,OldBone_-_Associated_surface_material,Bone Associated Surface Materials,{otherwork},otherwork,5,,,Other worked or transported material,,,
169153902332,OldBone_-_Associated_surface_material,Bone Associated Surface Materials,{all},all,6,,,,,,
169153927022,OldBone_-_Bivalve_preservation,Bone Associated Insitu Materials; Bone Associated Surface Materials,{good},good,1,,,Majority of shell is highly fragmented,,,
169153927022,OldBone_-_Bivalve_preservation,Bone Associated Insitu Materials; Bone Associated Surface Materials,{moderate},moderate,2,,,Mixture of fragmented and near whole shell,,,
169153927022,OldBone_-_Bivalve_preservation,Bone Associated Insitu Materials; Bone Associated Surface Materials,{poor},poor,3,,,Majority of shell is whole or near whole,,,
169153927022,OldBone_-_Bivalve_preservation,Bone Associated Insitu Materials; Bone Associated Surface Materials,{other},other,4,,,,,,
169153871990,OldBone_-_Burned_Mussel,Bone Associated Insitu Materials; Bone Associated Surface Materials,{yes},yes,1,,,,,,
169153871990,OldBone_-_Burned_Mussel,Bone Associated Insitu Materials; Bone Associated Surface Materials,{no},no,2,,,,,,
169153871990,OldBone_-_Burned_Mussel,Bone Associated Insitu Materials; Bone Associated Surface Materials,{indet},indet,3,,,,,,
169153942561,OldBone_-_Associated_Hearth_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,{hsclay},hsclay,1,,,,,,
169153942561,OldBone_-_Associated_Hearth_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,{hscarb},hscarb,2,,,,,,
169153942561,OldBone_-_Associated_Hearth_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,{hsterm},hsterm,3,,,,,,
169153942561,OldBone_-_Associated_Hearth_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,{hsother},hsother,4,,,,,,
169153942561,OldBone_-_Associated_Hearth_Material,Bone Associated Insitu Materials; Bone Associated Surface Materials,{hsindet},hsindet,5,,,,,,
