faimsAttributeID,faimsEntityAttributeName,attributeorder,AttributeDescription
1.69E+11,OldBone_-_Grid_Square,1,Letter code as marked in south-west corner of square
1.69E+11,OldBone_-_ID_Number,2,Feature identification code as marked on tag
1.69E+11,OldBone_-_Cluster_Type,3,
1.69E+11,OldBone_-_Proportion_of_material_that_remains_in_situ,4,Select the proportion of visible bone that remains insitu
1.69E+11,OldBone_-_Body_Parts_Identifed,5,"Select those of the following that have been observed, both in situ and on the surface"
1.69E+11,OldBone_-_Taxon_Identified,6,Select those of the following that can be identified:
1.69E+11,OldBone_-_Bone_Preservation,7,Select those types of modification that are common on the visible bone:
1.69E+11,OldBone_-_Deliberate_Surface_Modification,8,Select those types of deliberate modification that occur in any proportion on the visible bone:
1.69E+11,OldBone_-_Topographic_Setting,9,Where on the lunette exposure is the old bone located?
1.69E+11,OldBone_-_Sediment_Type,10,"What are the sediments that encase the old bone, or upon which they are immediately lying?"
1.69E+11,OldBone_-_Stratigraphic_Unit,11,
1.69E+11,OldBone_-_Vulnerability_To_Erosion,12,"Based on the cluster type and its topographic setting, how vulnerable is the old bone?"
1.69E+11,OldBone_-_Palaeotopographic_Setting,13,Where is the old bone cluster located in relation to the original dune morphology?
1.69E+11,OldBone_-_Photos,14,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
1.69E+11,OldBone_-_Notes,15,Any additional information worth noting that has not been covered by the recording
1.69E+11,OldBone_-_Associated_in_situ_material,1,Select those of the following that have been observed in situ
1.69E+11,OldBone_-_Associated_surface_material,1,Select those of the following that have been observed on the surface
1.69E+11,OldBone_-_Bivalve_preservation,2; 2,
1.69E+11,OldBone_-_Burned_Mussel,3; 3,
1.69E+11,OldBone_-_Associated_Hearth_Material,4; 4,Select those of the following that have been observed:
1.69E+11,OldBone_-_Associated_Eggshell,5; 5,Select those of the following that have been observed:
1.69E+11,OldBone_-_Burned_Eggshel,6; 6,
1.69E+11,OldBone_-_Associated_Stone_Artefacts,7; 7,Select those of the following that have been observed
1.69E+11,OldBone_-_Associated_Chipped_Stone_Artefacts,8; 8,Select those of the following that have been observed:
1.69E+11,OldBone_-_Associated_Retouched_Artefacts,9; 9,
1.69E+11,OldBone_-_Associated_Unmodified_Stone,10; 10,Select those of the following that have been observed:
1.69E+11,OldBone_-_Ground_Stone_Types_Present,11; 11,Select those of the following that have been observed:
1.69E+11,OldBone_-_Ground_Stone_Status,12; 12,Is the ground material...:
1.69E+11,OldBone_-_Chipped_Stone_Raw_Material,13; 13,Select those types of raw material that have been observed:
1.69E+11,OldBone_-_Unmodified_Stone_Raw_Material,14; 14,Select those types of raw material that have been observed:
1.69E+11,OldBone_-_Ground_Stone_Raw_Material,15; 15,Select those types of raw material that have been observed:
1.69E+11,OldBone_-_Associated_Other_Artefacts,16; 16,Select those of the following that have been observed:
1.69E+11,Hearth_-_Grid_Square,1,Letter code as marked in south-west corner of square
1.69E+11,Hearth_-_ID_Number,2,Feature identification code as marked on tag
1.69E+11,Hearth_-_Hearth_Type,3,
1.69E+11,Hearth_-_Brief_description,4,"A few word description of an 'other' type of hearth or hearthstone, e.g. fish hearth, emu eggshell hearth, silcrete hearthstones"
1.69E+11,Hearth_-_Charcoal,5,
1.69E+11,Hearth_-_Proportion_of_material_that_remains_in_situ,6,Select the proportion of visible hearth material that remains in situ
1.69E+11,Hearth_-_Modification_of_heat-retainer_hearths,7,Select the degree of post-exposure modification of the heat-retainer hearth:
1.69E+11,Hearth_-_Modification_of_non-heat_retainer_hearths,8,Select the extent of post-exposure modification to non- heat retainer hearths:
1.69E+11,Hearth_-_Topographic_Setting,9,Where on the lunette exposure is the hearth located?
1.69E+11,Hearth_-_Sediment_Type,10,"What are the sediments that encase the hearth, or upon which they are immediately lying?"
1.69E+11,Hearth_-_Stratigraphic_Unit,11,
1.69E+11,Hearth_-_Vulnerability_To_Erosion,12,"Based on the cluster type and its topographic setting, how vulnerable is the hearth?"
1.69E+11,Hearth_-_Palaeotopographic_Setting,13,Where is the hearth cluster located in relation to the original dune morphology?
1.69E+11,Hearth_-_Photos,14,"Take 2 images: 1. landscape/stratigraphic setting (to aid re-location), include horizon and nearby landmarks that will have some longevity 2. the feature itself (to aid identification) -- include the critical components of the feature like the in situ portion of a hearth or bone cluster"
1.69E+11,Hearth_-_Notes,15,Any additional information worth noting that has not been covered by the recording
1.69E+11,HearthAssoc_-_Associated_material,1,
1.69E+11,HearthAssoc_-_Associated_lacustrine_material,2,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Burnt_lacustrine_material,3,Is any of it burnt?
1.69E+11,HearthAssoc_-_Associated_terrestrial_bone,4,Select those of the following that have been identified (see Old Bone Reference Manual for more illustrations)
1.69E+11,HearthAssoc_-_Burnt_terrestrial_bone,5,Is any of it burnt?
1.69E+11,HearthAssoc_-_Associated_eggshell,6,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Burnt_eggshell,7,Is any of it burnt?
1.69E+11,HearthAssoc_-_Associated_stone_artefacts,8,Select those of the following that have been observed
1.69E+11,HearthAssoc_-_Associated_chipped_stone_artefacts,9,Select those of the following that have been observed
